DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2014-01-15;09:21:00;PIAZZA SAN BENEDETTO;sn;;Incidente stradale senza feriti;Cambio di corsia;2;2;0;0;0;0;0
2014-01-15;10:33:00;VIA MERCALLI;10;;Incidente stradale senza feriti;Svolta a sinistra irregolare;2;1;1;0;0;0;0
2014-01-16;10:09:00;VIA GUTTUSO;sn;VIA CABRAS;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0
2014-01-16;11:58:00;LARGO GENNARI;sn;VIA TUVERI;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-01-16;19:06:00;VIA S.AGOSTINO;sn;;Incidente stradale senza feriti;Cambio di corsia;2;0;2;0;0;0;0
2014-01-17;11:28:00;VIA CADELLO;32;;Incidente stradale con feriti;Cambio di corsia;2;1;1;1;0;0;0
2014-01-17;21:23:00;CORSO VITTORIO EMANUELE II;227;;Incidente stradale senza feriti;Apertura portiera;2;2;0;0;0;0;0
2014-01-18;01:31:00;ROTATORIA CADELLO;sn;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0
2014-01-18;08:46:00;VIA GIUD.SSA BENEDETTA;sn;VIA DEI GIUDICATI;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-01-18;10:09:00;PIAZZA ITALIA;sn;VIA DEL RISORGIMENTO;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0
2014-01-19;07:49:00;VIA S.MARIA CHIARA;50;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0
2014-01-19;07:35:00;VIA PO;sn;;Incidente stradale con feriti;Inversione di marcia;2;1;1;1;0;0;0
2014-01-19;14:31:00;VIA PERETTI;sn;;Incidente stradale senza feriti;Tamponamento;3;3;0;0;0;0;0
2014-01-19;20:51:00;VIA COL D`ECHELE;sn;VIA IS MAGLIAS;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0
2014-01-20;02:03:00;VIA MANZONI;sn;VIA LEOPARDI;Incidente stradale con feriti;Frontale / laterale;4;2;1;2;0;0;0
2014-01-20;08:38:00;VIA PISANO;sn;VIA AMPERE;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0
2014-01-20;09:17:00;VIA ROMA;65;;Incidente stradale con feriti;Caduta dal veicolo x imperizia;2;1;1;1;1;0;0
2014-01-20;18:01:00;VIA CIUSA;sn;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0
2014-01-20;18:04:00;VIALE DIAZ;sn;VIA SONNINO;Incidente stradale con feriti;Investimento di pedone;1;0;2;1;0;0;0
2014-01-21;09:50:00;VIA FENICOTTERI;5;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
2014-02-06;20:22:00;VIA S.MARIA GORETTI;sn;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;0;1;0;0;0;0
2014-02-07;14:25:00;S.S. 131 DIR.;sn;ROTATORIA PERETTI;Incidente stradale con feriti;Tamponamento;3;3;0;0;1;0;0
2014-02-07;16:56:00;LARGO CARLO FELICE;14;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;1;0;0;0;0
2014-02-07;18:16:00;VIA PERGOLESI;sn;LARGO GENNARI;Incidente stradale con feriti;Urto con veicolo in sosta;5;2;0;1;0;0;0
2014-02-07;20:38:00;VIA TOTI;sn;VIA SANNA;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0
2014-02-07;21:55:00;VIA ITALIA;54;;Incidente stradale con feriti;Urto laterale;2;2;0;1;0;0;0
2014-02-09;02:53:00;VIA STAMIRA;sn;VIA PERETTI;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0
2014-02-09;08:01:00;VIALE TRENTO;sn;VIA SAURO;Incidente stradale con feriti;Urto laterale;2;2;0;1;0;0;0
2014-02-09;18:14:00;VIA CIUSA;sn;VIA RIVA VILLASANTA;Incidente stradale con feriti;Urto anteriore;2;2;0;1;0;0;0
2014-02-09;18:25:00;VIA ROMA;sn;PIAZZA MATTEOTTI;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-02-10;13:48:00;VIA MONTECASSINO;27;VIA SEGURANA;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-02-10;14:02:00;VIA DEL FANGARIO;6;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-02-10;15:05:00;VIA IS MIRRIONIS;184;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;1;0;0;0;0
2014-02-10;17:15:00;VIALE GUGLIELMO MARCONI;54;;Incidente stradale senza feriti;Tamponamento;3;2;1;0;0;0;0
2014-02-11;11:42:00;VIALE COLOMBO;18;;Incidente stradale con feriti;Uscita x sbandamento;1;1;0;0;1;0;0
2014-02-11;13:28:00;VIALE CIMITERO;29;;Incidente stradale con feriti;Tamponamento;3;2;1;3;0;0;0
2014-02-11;14:46:00;VIA CONVERSI;11;;Danneggiamento;Urto con cassonetto;1;1;0;0;0;0;0
2014-02-11;15:28:00;VIA CADELLO;sn;VIA CORNALIAS;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0
2014-02-11;20:30:00;VIA S.BENEDETTO;sn;VIA BELLINI;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0
2014-02-12;02:41:00;ASSE MEDIANO DI SCORRIMENTO;sn;VIA GUADAZZONIS;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0
2014-02-12;09:13:00;VIA ROMA (LUNGOMARE);sn;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;0;1;0;0;0;0
2014-02-12;16:13:00;VIA CINQUINI;sn;VIA CORNALIAS;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
2014-02-12;17:42:00;VIA GALVANI;56;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0
2014-02-13;09:10:00;VIA PORTO BOTTE;sn;;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0
2014-02-13;15:21:00;VIA MESSINA;sn;VIA MILANO;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0
2014-02-13;18:50:00;VIALE GUGLIELMO MARCONI;161;;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0
